dataset_key	pattern_layer	category	extraction_pattern	registry_prefix	mapping_type	mapping_source	registry_status	registry_name	registry_pattern	registry_deprecated	current_uri	review_note
affy_probeset	safe	Probe	\b(?P<id>\d{3,}(?:_[a-z])?_at)\b	affy.probeset	direct	reviewed_override	found	Affymetrix Probeset	^\d{4,}((_[asx])?_at)?$	False	http://identifiers.org/affy.probeset/	
assembly_insdc	safe	Genome	\b(?P<id>GCA_\d{9})(?:\.\d+)?\b	insdc.gca	direct	explicit_pattern_uri	found	Genome assembly database - INSDC accessions	^GCA_[0-9]{9}(\.[0-9]+)?$	False	http://identifiers.org/insdc.gca/	
assembly_refseq	safe	Genome	\b(?P<id>GCF_\d{9})(?:\.\d+)?\b	insdc.gca	direct	explicit_pattern_uri	found	Genome assembly database - INSDC accessions	^GCA_[0-9]{9}(\.[0-9]+)?$	False	http://identifiers.org/insdc.gca/	
bioproject	safe	Project	\b(?P<id>PRJ[DEN][A-Z]\d+)\b	bioproject	direct	explicit_pattern_uri	found	BioProject	^PRJ[DEN][A-Z]\d+$	False	http://identifiers.org/bioproject/	
bioproject_umbrella	safe	Project	\b(?P<id>PRJ[DEN][A-Z]\d+)\b	bioproject	alias	reviewed_override	found	BioProject	^PRJ[DEN][A-Z]\d+$	False	http://identifiers.org/bioproject/	
ccds	safe	Gene	\b(?P<id>CCDS\d+)(?:\.\d+)?\b	ccds	direct	registry_prefix_match	found	Consensus CDS	^CCDS\d+\.\d+$	False	http://identifiers.org/ccds/	
cellosaurus	safe	CellLine	\bCVCL[:_](?P<id>[A-Z0-9]{4})\b	cellosaurus	direct	registry_prefix_match	found	Cellosaurus	^CVCL_[A-Z0-9]{4}(\.txt)?$	False	http://identifiers.org/cellosaurus/	
chebi	safe	Compound	\b(?:CHEBI[:_])(?P<id>\d+)\b	chebi	direct	registry_prefix_match	found	ChEBI	^CHEBI:\d+$	False	http://identifiers.org/chebi/	
chembl_compound	safe	Compound	\b(?P<id>CHEMBL\d+)\b	chembl.compound	direct	reviewed_override	found	ChEMBL compound	^CHEMBL\d+$	False	http://identifiers.org/chembl.compound/	
chembl_target	safe	Protein	\b(?P<id>CHEMBL\d+)\b	chembl.target	direct	reviewed_override	found	ChEMBL target	^CHEMBL\d+$	False	http://identifiers.org/chembl.target/	
cl	safe	Anatomy	\bCL[:_](?P<id>\d{7})\b	cl	direct	registry_prefix_match	found	Cell Type Ontology	^CL:\d{7}$	False	http://identifiers.org/cl/	
clinvar	safe	Variant	\b(?:VCV0*)(?P<id>\d{1,9})\b	clinvar	direct	registry_prefix_match	found	ClinVar Variant	^\d+$	False	http://identifiers.org/clinvar/	
clo	safe	CellLine	\bCLO[:_](?P<id>\d{7})\b	clo	direct	registry_prefix_match	found	Cell Line Ontology	^\d{7}$	False	http://identifiers.org/clo/	
cog	safe	Ortholog	\b(?P<id>COG\d{4})\b	cog	direct	registry_prefix_match	found	COG	^COG[0-9]+$	False	http://identifiers.org/cog/	
doid	safe	Phenotype	\bDO(?:ID)?[:_](?P<id>\d+)\b	doid	direct	registry_prefix_match	found	Human Disease Ontology	^DOID:\d+$	False	http://identifiers.org/doid/	
drugbank	safe	Drug	\b(?P<id>DB\d{5})\b	drugbank	direct	registry_prefix_match	found	DrugBank	^DB\d{5}$	False	http://identifiers.org/drugbank/	
ec	safe	Function	\b(?:EC:)(?P<id>\d+\.(?:(?:-\.-\.-)|\d+\.(?:(?:-\.-)|\d+\.(?:-|n?\d+))))\b	ec-code	direct	explicit_pattern_uri	found	Enzyme Nomenclature	^\d+\.-\.-\.-|\d+\.\d+\.-\.-|\d+\.\d+\.\d+\.-|\d+\.\d+\.\d+\.(n)?\d+$	False	http://identifiers.org/ec-code/	
efo_disease	safe	Phenotype	\bEFO[:_](?P<id>\d{7})\b	efo	direct	reviewed_override	found	Experimental Factor Ontology	^\d{7}$	False	http://identifiers.org/efo/	
